date,value
12/9/2018,0
12/16/2018,0
12/23/2018,8
12/30/2018,0
1/6/2019,0
1/13/2019,0
1/20/2019,5
1/27/2019,0
2/3/2019,7
2/10/2019,7
2/17/2019,6
2/24/2019,0
3/3/2019,0
3/10/2019,0
3/17/2019,7
3/24/2019,0
3/31/2019,0
4/7/2019,0
4/14/2019,0
4/21/2019,0
4/28/2019,0
5/5/2019,0
5/12/2019,0
5/19/2019,0
5/26/2019,4
6/2/2019,0
6/9/2019,6
6/16/2019,0
6/23/2019,0
6/30/2019,0
7/7/2019,0
7/14/2019,0
7/21/2019,7
7/28/2019,12
8/4/2019,0
8/11/2019,0
8/18/2019,21
8/25/2019,0
9/1/2019,0
9/8/2019,6
9/15/2019,0
9/22/2019,0
9/29/2019,0
10/6/2019,0
10/13/2019,0
10/20/2019,0
10/27/2019,4
11/3/2019,0
11/10/2019,0
11/17/2019,0
11/24/2019,0
12/1/2019,0
12/8/2019,0
12/15/2019,0
12/22/2019,0
12/29/2019,0
1/5/2020,0
1/12/2020,4
1/19/2020,0
1/26/2020,0
2/2/2020,0
2/9/2020,0
2/16/2020,0
2/23/2020,0
3/1/2020,0
3/8/2020,0
3/15/2020,0
3/22/2020,0
3/29/2020,0
4/5/2020,0
4/12/2020,0
4/19/2020,0
4/26/2020,3
5/3/2020,0
5/10/2020,5
5/17/2020,4
5/24/2020,0
5/31/2020,0
6/7/2020,0
6/14/2020,0
6/21/2020,0
6/28/2020,10
7/5/2020,0
7/12/2020,8
7/19/2020,0
7/26/2020,0
8/2/2020,5
8/9/2020,0
8/16/2020,0
8/23/2020,0
8/30/2020,0
9/6/2020,5
9/13/2020,8
9/20/2020,0
9/27/2020,0
10/4/2020,0
10/11/2020,0
10/18/2020,4
10/25/2020,0
11/1/2020,0
11/8/2020,0
11/15/2020,4
11/22/2020,0
11/29/2020,0
12/6/2020,3
12/13/2020,0
12/20/2020,0
12/27/2020,4
1/3/2021,5
1/10/2021,0
1/17/2021,0
1/24/2021,0
1/31/2021,0
2/7/2021,4
2/14/2021,0
2/21/2021,0
2/28/2021,0
3/7/2021,4
3/14/2021,0
3/21/2021,0
3/28/2021,0
4/4/2021,12
4/11/2021,0
4/18/2021,0
4/25/2021,0
5/2/2021,0
5/9/2021,4
5/16/2021,0
5/23/2021,0
5/30/2021,0
6/6/2021,0
6/13/2021,5
6/20/2021,0
6/27/2021,0
7/4/2021,0
7/11/2021,0
7/18/2021,0
7/25/2021,0
8/1/2021,0
8/8/2021,0
8/15/2021,0
8/22/2021,7
8/29/2021,0
9/5/2021,6
9/12/2021,0
9/19/2021,0
9/26/2021,0
10/3/2021,0
10/10/2021,7
10/17/2021,0
10/24/2021,0
10/31/2021,0
11/7/2021,0
11/14/2021,0
11/21/2021,0
11/28/2021,0
12/5/2021,4
12/12/2021,0
12/19/2021,0
12/26/2021,0
1/2/2022,12
1/9/2022,6
1/16/2022,0
1/23/2022,4
1/30/2022,0
2/6/2022,8
2/13/2022,0
2/20/2022,5
2/27/2022,0
3/6/2022,4
3/13/2022,0
3/20/2022,5
3/27/2022,6
4/3/2022,0
4/10/2022,0
4/17/2022,0
4/24/2022,0
5/1/2022,0
5/8/2022,8
5/15/2022,4
5/22/2022,7
5/29/2022,5
6/5/2022,0
6/12/2022,11
6/19/2022,0
6/26/2022,6
7/3/2022,0
7/10/2022,10
7/17/2022,4
7/24/2022,0
7/31/2022,5
8/7/2022,0
8/14/2022,4
8/21/2022,3
8/28/2022,6
9/4/2022,3
9/11/2022,0
9/18/2022,7
9/25/2022,5
10/2/2022,0
10/9/2022,16
10/16/2022,9
10/23/2022,5
10/30/2022,9
11/6/2022,5
11/13/2022,8
11/20/2022,5
11/27/2022,11
12/4/2022,16
12/11/2022,16
12/18/2022,25
12/25/2022,18
1/1/2023,15
1/8/2023,27
1/15/2023,23
1/22/2023,38
1/29/2023,24
2/5/2023,28
2/12/2023,37
2/19/2023,20
2/26/2023,36
3/5/2023,47
3/12/2023,34
3/19/2023,60
3/26/2023,56
4/2/2023,72
4/9/2023,61
4/16/2023,83
4/23/2023,72
4/30/2023,66
5/7/2023,70
5/14/2023,73
5/21/2023,86
5/28/2023,61
6/4/2023,79
6/11/2023,74
6/18/2023,76
6/25/2023,98
7/2/2023,72
7/9/2023,100
7/16/2023,79
7/23/2023,76
7/30/2023,81
8/6/2023,76
8/13/2023,80
8/20/2023,71
8/27/2023,72
9/3/2023,62
9/10/2023,98
9/17/2023,84
9/24/2023,69
10/1/2023,82
10/8/2023,85
10/15/2023,98
10/22/2023,77
10/29/2023,73
11/5/2023,65
11/12/2023,92
11/19/2023,71
11/26/2023,93
12/3/2023,86
